"000031708X",       "Pearl in a crown (1st edition)", "Williams, Margaret.", 17.67
"0001061615",       "world we live in (Special ed. for young readers.)", "Jane Werner Watson", 102.25
"0000725601",       "The eclogues of Virgil (1st edition)", "Publius Vergilius Maro", 43.93
"0000370177",       "Muhammad Ali (1st edition)", "John Tully", 14.94
"0000023183",       "CSC 300 Course notes (1st edition)", "Colin Furness", 86.42
"9780030556241",    "A Tale of 2 Cities With Connections (HRW library) (1st edition)", "Charles Dickens", 79.07
"0001022016",       "The look-it-up book of stars and planets (1st edition)", "Patricia Lauber", 73.06
"000106066X",       "country heaven ; and, The evolution of a poem (1st edition)", "Dylan Thomas", 21.23
"0001062417",       "Early aircraft (1st edition)", "Maurice F. Allward", 65.65
"0000255406",       "Shadow maker (1st ed.)", "Rosemary Sullivan", 8.08
"0000385264",       "Der Karawanenkardinal (1st edition)", "Heinz Gstrein", 35.18
"0001062425",       "Cycles and motorcycles (1st edition)", "Michael Worthing-Williams", 96.97
"0001011707",       "Silly circus (1st edition)", "Peter S. Seymour", 37.44
"0000036021",       "PHY 238Y Fall 1998 Readings (1st edition)", "K McNeill", 107.79
"0000000000091",    "Nietzsche (1st edition)", "Dyck, J. W.", 102.30
"0001061534",       "Buggy-go-round (1st edition)", "Edward Radlauer", 74.93
"0001051342",       "A necklace of raindrops and other stories (1st edition)", "Joan Aiken", 75.84
"0000088848",       "vénérable Charles-Joseph-Eugène de Mazenod (1st edition)", "Louis Napoléon Boutin", 119.89
"0434740020",       "East of Eden. (1st edition)", "John Steinbeck", 17.23
"0001062174",       "Chess for children (1st edition)", "Raymond Bott", 8.09
"000106150X",       "Michelangelo (1st edition)", "Bruno Nardini", 114.78
"0001021346",       "Collins guide to modern technology (1st edition)", "Robin Kerrod", 25.53
"0000038520",       "Architectural Digest (1st edition)", "Architecural Digest Editors", 26.53
"0000011400",       "Emigração açoriana (sécs. XVIII a XX) (1st edition)", "Luís Mendonça", 46.00
"0000099324",       "Werkausgabe (1st edition)", "Oskar Maria Graf", 78.01
"0000037524",       "CSC 364 Fall 1998 Course Readings (1st edition)", "David Mitchell", 10.43
"0001061585",       "Chopper cycle (1st edition)", "Edward Radlauer", 47.98
"0000696268",       "DTV (1st edition)", "Jerry C. Whitaker", 33.52
"0000920612",       "Memories recalled (1st edition)", "Michael Mackenzie", 45.88
"0000050199",       "Sociology 203 Readings (1st edition)", "J Veugelers", 65.47
"0000216366",       "Anna Pavlova (1st ed.)", "Keith Money", 115.47
"0000274275",       "semana de lluvia. (1st edition)", "Francisco Garciá Pavoń", 44.34

"0001051865",       "The mill on the floss (1st edition)", "George Eliot", 72.52
"0000082651",       "First report (1st edition)", "Ireland. Oireachtas. Seventh Joint Committee on Commercial State-Sponosored Bodies.", 58.66
"0001011162",       "Furnacine learns to laugh (1st edition)", "Caryl Koelling", 37.56
"0001005375",       "Little Grey Rabbit's Party (1st edition)", "Alison Uttley", 93.97
"0000267341",       "Model Railroader (1st edition)", "Andy Sperandeo", 16.37
"0001034375",       "Robinson Crusoe (1st edition)", "Daniel Defoe", 12.70
"0001061747",       "earth before Adam (1st edition)", "Guido Ruggieri", 116.23
"0001001795",       "Archaeology (1st edition)", "Sabatino Moscati", 118.93
"0001061267",       "In the 20th century (1st edition)", "Ann Currah", 34.98
"0000723266",       "Jung to Kirisutokyō (1st edition)", "Yuasa, Yasuo.", 79.66
"0000000462",       "L'Orpailleur de Blood Alley (1st edition)", "Philippe Metayer", 79.65
"0000106119",       "More chess for children (2nd ed.)", "Raymond Bott", 76.53
"0001004581",       "The day the ducks went skating (1st edition)", "Colin Reeder", 80.72
"0001006908",       "Fantastic Mr. Fox. (1st edition)", "Roald Dahl", 94.77
"0001042386",       "Rikki-Tikki-Tavi ; and, Wee Willi e Winkie (1st edition)", "Rudyard Kipling", 32.54
"0001060724",       "Three poems from Facade (1st edition)", "Sitwell, Edith Dame", 89.35
"0001012894",       "Nature surprises (1st edition)", "Peter S. Seymour", 96.71
"0001004506",       "High Hills (1st edition)", "Jill Barklem", 101.57
"0000058408",       "NMC 273Y Fall 2000 Readings (1st edition)", "L. S Northrup", 15.14
"0001060236",       "The  white seal (1st edition)", "Rudyard Kipling", 11.17
"0000103152",       "Rutherford Appleton Laboratory 1957-1982. (1st edition)", "Cathy Costain", 81.04
"0000602837",       "Japanische Studenten an der Berliner Universität (1st edition)", "Hartmann, Rudolf", 64.99
"0000118400",       "Solving Problems God's Way (1st edition)", "Wendell Winkler", 51.36
"0001061399",       "Animals of the world (1st edition)", "David Stephen", 38.70
"0001060473",       "Nicholas Nickleby (1st edition)", "Charles Dickens", 70.11
"000106102X",       "World history (1st edition)", "Kenneth Bailey", 65.09
"0000901981",       "Historic paper hangings from Temple Newsam and other English houses (1st edition)", "Anthony Wells-Cole", 68.78
"0000420743",       "The  American heritage book of Indians (1st edition)", "William Brandon", 65.81
"000104284X",       "Sinbad the sailor (1st edition)", "Anthony Quayle", 58.19
"9780545310581",    "The Hunger Games - Library Edition", "Suzanne Collins", 76.56
"0001061755",       "Life in the Zoo (1st edition)", "Michael Chinery", 42.13
"9990968993",       "Fougasse (1st edition)", "Stephen Spiteri", 62.20


"000041977X",       "Bullentin of the School of Oriental and African Studies (1st edition)", "School of Oriental and African Studies", 38.87
"0001033255",       "Lots of fun tocook with Rupert (1st edition)", "Sonia Allison", 100.08
"0001061275",       "The creative arts (1st edition)", "Ann Currah", 51.80
"0000873993",       "Cewri'r ffydd (1st edition)", "D. Elwyn Davies", 119.90
"0001033476",       "Indoor games. (1st edition)", "Maurice Pipard", 73.69
"0000091226",       "Musical thoughts & afterthoughts (1st edition)", "Alfred Brendel", 75.68
"0001006681",       "Mog the forgetful cat (New ed.)", "Judith Kerr", 63.65
"0000903204",       "Iolair, bru-dhearg, giuthas (1st edition)", "Fearghas MacFhionnlaigh", 47.89
"0000058491",       "ENG1001 Fall 2000, Excerpts from old english language & literature (1st edition)", "Carol Percy", 95.08
"0140444300",       "Les misérables (1st edition)", "Victor Hugo", 82.96
"0001042939",       "Paddington Bear (1st edition)", "Michael Bond", 71.14
"0001006010",       "Secret path (1st edition)", "Nick Butterworth", 38.17
"0001001116",       "Nature's way (1st edition)", "David Stephen", 117.60
"0000772321",       "Warren Hastings and British India (1st edition)", "Moon, Penderel", 108.61
"9780439023481",    "The Hunger Games (1st ed.)", "Suzanne Collins", 113.10
"0001061216",       "Conquest and change (1st edition)", "Ann Currah", 53.87
"0001061038",       "Nature (1st edition)", "Kenneth Bailey", 63.71
"0001011537",       "Pop-up safety (1st edition)", "Peter S. Seymour", 22.03
"0001051539",       "Paddington Bear (1st edition)", "Michael Bond", 98.57
"0000256496",       "The  genius of the later English theater (1st edition)", "Sylvan Barnet", 47.33
